Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Matches,League
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,21,21,1804.0,3.0,0.0,1.0,1.0,0.0,0.0,0.15,0.0,0.15,0.1,0.1,1.8,1.0,1.8,0.09,0.09,0.18,0.05,0.14,Matches,epl
2,Max Aarons,eng ENG,DF,Norwich City,19,2000,26,26,2340.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.04,0.04,0.0,0.04,0.5,0.5,3.4,0.02,0.13,0.15,0.02,0.15,Matches,epl
3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,25,23,1945.0,13.0,3.0,0.0,0.0,2.0,0.0,0.6,0.14,0.74,0.6,0.74,12.2,12.2,2.3,0.56,0.11,0.67,0.56,0.67,Matches,epl
4,Che Adams,eng ENG,FW,Southampton,23,1996,21,8,712.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,1.9,1.9,0.9,0.24,0.11,0.35,0.24,0.35,Matches,epl
5,AdriÃ¡n,es ESP,GK,Liverpool,32,1987,10,8,783.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
6,Sergio AgÃ¼ero,ar ARG,FW,Manchester City,31,1988,21,16,1342.0,16.0,3.0,2.0,3.0,1.0,0.0,1.07,0.2,1.27,0.94,1.14,13.3,11.0,2.5,0.89,0.17,1.06,0.74,0.91,Matches,epl
7,Albian Ajeti,ch SUI,"MF,FW",West Ham,22,1997,8,0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.08,0.04,0.12,0.08,0.12,Matches,epl
8,Nathan AkÃ©,nl NED,DF,Bournemouth,24,1995,22,22,1925.0,2.0,1.0,0.0,0.0,1.0,0.0,0.09,0.05,0.14,0.09,0.14,2.3,2.3,0.6,0.11,0.03,0.14,0.11,0.14,Matches,epl
9,Marc Albrighton,eng ENG,MF,Leicester City,29,1989,13,2,387.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.23,0.23,0.0,0.23,0.2,0.2,0.9,0.06,0.2,0.25,0.06,0.25,Matches,epl
10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,26,26,2328.0,1.0,2.0,0.0,0.0,4.0,0.0,0.04,0.08,0.12,0.04,0.12,0.7,0.7,0.9,0.03,0.04,0.06,0.03,0.06,Matches,epl
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,28,27,2460.0,2.0,12.0,0.0,0.0,4.0,0.0,0.07,0.44,0.51,0.07,0.51,2.1,2.1,8.5,0.08,0.31,0.39,0.08,0.39,Matches,epl
12,Alisson,br BRA,GK,Liverpool,26,1992,20,20,1734.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.4,0.0,0.02,0.02,0.0,0.02,Matches,epl
13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,20,18,1584.0,7.0,3.0,0.0,0.0,2.0,0.0,0.4,0.17,0.57,0.4,0.57,5.4,5.4,2.2,0.31,0.12,0.43,0.31,0.43,Matches,epl
14,Miguel AlmirÃ³n,py PAR,"FW,MF",Newcastle Utd,25,1994,27,27,2290.0,2.0,1.0,0.0,0.0,5.0,0.0,0.08,0.04,0.12,0.08,0.12,4.6,4.6,0.8,0.18,0.03,0.21,0.18,0.21,Matches,epl
15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,10,8,768.0,4.0,2.0,0.0,0.0,3.0,0.0,0.47,0.23,0.7,0.47,0.7,1.5,1.5,1.3,0.17,0.16,0.33,0.17,0.33,Matches,epl
16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,19,12,1183.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.7,0.09,0.05,0.14,0.09,0.14,Matches,epl
17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,11,8,756.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.12,0.01,0.13,0.12,0.13,Matches,epl
18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,21,19,1412.0,1.0,4.0,0.0,0.0,1.0,0.0,0.06,0.25,0.32,0.06,0.32,2.5,2.5,2.9,0.16,0.18,0.34,0.16,0.34,Matches,epl
19,Florin Andone,ro ROU,"MF,FW",Brighton,26,1993,3,1,71.0,1.0,0.0,0.0,0.0,0.0,1.0,1.27,0.0,1.27,1.27,1.27,0.2,0.2,0.0,0.19,0.05,0.24,0.19,0.24,Matches,epl
20,AngeliÃ±o,es ESP,DF,Manchester City,22,1997,6,4,422.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,0.05,0.25,0.3,0.05,0.30,Matches,epl
21,Michail Antonio,eng ENG,"FW,MF",West Ham,29,1990,14,9,940.0,2.0,2.0,0.0,0.0,0.0,0.0,0.19,0.19,0.38,0.19,0.38,3.8,3.8,1.8,0.36,0.18,0.54,0.36,0.54,Matches,epl
22,Stuart Armstrong,sco SCO,MF,Southampton,27,1992,21,12,1140.0,3.0,0.0,0.0,0.0,3.0,0.0,0.24,0.0,0.24,0.24,0.24,2.0,2.0,0.9,0.16,0.07,0.22,0.16,0.22,Matches,epl
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,24,24,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
24,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,27,1992,18,6,733.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.37,0.37,0.0,0.37,0.2,0.2,1.0,0.03,0.12,0.14,0.03,0.14,Matches,epl
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,25,25,2214.0,17.0,1.0,1.0,1.0,3.0,1.0,0.69,0.04,0.73,0.65,0.69,11.2,10.5,1.8,0.46,0.07,0.53,0.43,0.50,Matches,epl
26,Serge Aurier,ci CIV,DF,Tottenham,26,1992,22,21,1820.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.2,0.2,0.0,0.2,0.4,0.4,2.3,0.02,0.11,0.13,0.02,0.13,Matches,epl
27,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,27,1991,27,27,2303.0,7.0,1.0,0.0,0.0,4.0,0.0,0.27,0.04,0.31,0.27,0.31,5.6,5.6,1.6,0.22,0.06,0.28,0.22,0.28,Matches,epl
28,CÃ©sar Azpilicueta,es ESP,DF,Chelsea,29,1989,26,26,2330.0,2.0,3.0,0.0,0.0,0.0,0.0,0.08,0.12,0.19,0.08,0.19,2.3,2.3,4.6,0.09,0.18,0.27,0.09,0.27,Matches,epl
29,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
30,Leighton Baines,eng ENG,DF,Everton,34,1984,4,2,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.02,0.06,0.08,0.02,0.08,Matches,epl
31,FabiÃ¡n Balbuena,py PAR,DF,West Ham,27,1991,13,12,1080.0,1.0,0.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,1.7,1.7,0.0,0.14,0.0,0.14,0.14,0.14,Matches,epl
32,George Baldock,eng ENG,DF,Sheffield Utd,26,1993,27,27,2430.0,2.0,3.0,0.0,0.0,6.0,0.0,0.07,0.11,0.19,0.07,0.19,0.5,0.5,1.8,0.02,0.07,0.09,0.02,0.09,Matches,epl
33,Phil Bardsley,sco SCO,DF,Burnley,34,1985,13,13,1170.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.3,0.01,0.02,0.04,0.01,0.04,Matches,epl
34,Ross Barkley,eng ENG,MF,Chelsea,25,1993,12,7,585.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,1.7,1.7,1.1,0.26,0.18,0.43,0.26,0.43,Matches,epl
35,Ashley Barnes,at AUT,FW,Burnley,29,1989,19,17,1361.0,6.0,0.0,1.0,1.0,4.0,0.0,0.4,0.0,0.4,0.33,0.33,5.4,4.6,0.5,0.35,0.03,0.39,0.3,0.34,Matches,epl
36,Harvey Barnes,eng ENG,MF,Leicester City,21,1997,26,19,1629.0,4.0,6.0,0.0,0.0,0.0,0.0,0.22,0.33,0.55,0.22,0.55,6.3,6.3,2.3,0.35,0.13,0.48,0.35,0.48,Matches,epl
37,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,27,27,2350.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,0.02,0.03,0.05,0.02,0.05,Matches,epl
38,Borja BastÃ³n,es ESP,"MF,FW",Aston Villa,26,1992,2,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
39,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,225.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.4,0.8,2.2,2.2,0.2,0.87,0.07,0.94,0.87,0.94,Matches,epl
40,Jan Bednarek,pl POL,DF,Southampton,23,1996,26,26,2338.0,1.0,0.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.1,0.03,0.0,0.04,0.03,0.04,Matches,epl
41,HÃ©ctor BellerÃ­n,es ESP,DF,Arsenal,24,1995,7,7,623.0,1.0,0.0,0.0,0.0,2.0,0.0,0.14,0.0,0.14,0.14,0.14,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04,Matches,epl
42,Ryan Bennett,eng ENG,DF,Wolves,29,1990,11,7,604.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.02,0.0,0.02,Matches,epl
43,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,3,3,270.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.05,0.06,0.01,0.06,Matches,epl
44,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,19,8,829.0,1.0,1.0,0.0,0.0,3.0,0.0,0.11,0.11,0.22,0.11,0.22,3.4,3.4,1.8,0.37,0.19,0.56,0.37,0.56,Matches,epl
45,JÃ³hann Berg GuÃ°mundsson,is ISL,MF,Burnley,28,1990,7,4,401.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,0.6,0.6,0.5,0.14,0.11,0.24,0.14,0.24,Matches,epl
46,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,3,3,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,epl
47,Steven Bergwijn,nl NED,FW,Tottenham,21,1997,3,3,238.0,1.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,0.6,0.6,0.5,0.21,0.19,0.4,0.21,0.40,Matches,epl
48,Bernard,br BRA,"MF,FW",Everton,26,1992,17,12,951.0,3.0,2.0,0.0,0.0,2.0,0.0,0.28,0.19,0.47,0.28,0.47,1.0,1.0,1.5,0.09,0.14,0.23,0.09,0.23,Matches,epl
49,Bernardo,br BRA,DF,Brighton,24,1995,10,6,541.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.05,0.03,0.08,0.05,0.08,Matches,epl
50,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,23,22,1933.0,1.0,1.0,0.0,0.0,3.0,1.0,0.05,0.05,0.09,0.05,0.09,1.8,1.8,2.9,0.08,0.13,0.22,0.08,0.22,Matches,epl
51,Muhamed BeÅ¡iÄ,ba BIH,MF,Sheffield Utd,26,1992,9,2,245.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.06,0.03,0.08,0.06,0.08,Matches,epl
52,Philip Billing,dk DEN,MF,Bournemouth,23,1996,26,24,2076.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.04,0.09,0.04,0.09,2.0,2.0,1.0,0.08,0.04,0.13,0.08,0.13,Matches,epl
53,Yves Bissouma,ml MLI,MF,Brighton,22,1996,12,7,577.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04,Matches,epl
54,Willy Boly,fr FRA,DF,Wolves,28,1991,11,11,989.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.09,0.09,0.0,0.09,0.0,0.0,0.3,0.0,0.03,0.03,0.0,0.03,Matches,epl
55,GaÃ«tan Bong,cm CMR,"MF,DF",Brighton,31,1988,4,0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.21,0.21,0.0,0.21,Matches,epl
56,Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,18,7,674.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.27,0.27,0.0,0.27,0.9,0.9,2.6,0.12,0.35,0.48,0.12,0.48,Matches,epl
57,Jarrod Bowen,eng ENG,FW,West Ham,22,1996,3,1,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.96,0.96,0.96,0.5,0.5,0.2,0.48,0.18,0.66,0.48,0.66,Matches,epl
58,Robbie Brady,ie IRL,MF,Burnley,27,1992,14,5,396.0,1.0,2.0,0.0,0.0,1.0,0.0,0.23,0.45,0.68,0.23,0.68,0.9,0.9,0.2,0.21,0.05,0.26,0.21,0.26,Matches,epl
59,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4,3,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
60,Josh Brownhill,eng ENG,MF,Burnley,23,1995,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,Matches,epl
61,Emi BuendÃ­a,ar ARG,"FW,MF",Norwich City,22,1996,27,21,1926.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.33,0.33,0.0,0.33,2.0,2.0,6.8,0.09,0.32,0.41,0.09,0.41,Matches,epl
62,Dan Burn,eng ENG,DF,Brighton,27,1992,24,24,2059.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.1,0.03,0.05,0.08,0.03,0.08,Matches,epl
63,Sam Byram,eng ENG,DF,Norwich City,25,1993,17,15,1293.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.5,0.09,0.04,0.12,0.09,0.12,Matches,epl
64,Willy Caballero,ar ARG,GK,Chelsea,37,1981,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
65,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,19,19,1710.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,1.0,1.0,0.3,0.05,0.02,0.07,0.05,0.07,Matches,epl
66,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,25,20,1746.0,12.0,1.0,0.0,0.0,6.0,0.0,0.62,0.05,0.67,0.62,0.67,11.1,11.1,0.9,0.57,0.04,0.62,0.57,0.62,Matches,epl
67,VÃ­ctor Camarasa,es ESP,MF,Crystal Palace,25,1994,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,epl
68,JoÃ£o Cancelo,pt POR,DF,Manchester City,25,1994,10,7,692.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.03,0.13,0.16,0.03,0.16,Matches,epl
69,Todd Cantwell,eng ENG,FW,Norwich City,21,1998,28,24,2035.0,6.0,2.0,0.0,0.0,4.0,0.0,0.27,0.09,0.35,0.27,0.35,5.6,5.6,2.6,0.25,0.11,0.36,0.25,0.36,Matches,epl
70,Ãtienne Capoue,fr FRA,MF,Watford,31,1988,23,23,2050.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.09,0.09,0.0,0.09,0.7,0.7,2.1,0.03,0.09,0.13,0.03,0.13,Matches,epl
71,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,13,4,508.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.53,0.53,0.0,0.53,0.5,0.5,1.6,0.08,0.28,0.36,0.08,0.36,Matches,epl
72,Jonny Castro,es ESP,DF,Wolves,25,1994,26,25,2197.0,1.0,1.0,0.0,0.0,4.0,0.0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,0.8,0.04,0.03,0.08,0.04,0.08,Matches,epl
73,Craig Cathcart,nir NIR,DF,Watford,30,1989,26,26,2265.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.01,0.0,0.01,Matches,epl
74,Dani Ceballos,es ESP,MF,Arsenal,22,1996,13,9,822.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,0.4,0.4,0.9,0.04,0.1,0.14,0.04,0.14,Matches,epl
75,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,15,9,778.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12,0.12,0.0,0.12,0.3,0.3,0.7,0.04,0.08,0.12,0.04,0.12,Matches,epl
76,Calum Chambers,eng ENG,DF,Arsenal,24,1995,14,13,1103.0,1.0,1.0,0.0,0.0,5.0,0.0,0.08,0.08,0.16,0.08,0.16,0.6,0.6,0.8,0.05,0.06,0.12,0.05,0.12,Matches,epl
77,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,23,23,2060.0,2.0,3.0,0.0,0.0,2.0,0.0,0.09,0.13,0.22,0.09,0.22,0.8,0.8,2.9,0.03,0.13,0.16,0.03,0.16,Matches,epl
78,Tahith Chong,nl NED,"FW,MF",Manchester Utd,19,1999,3,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.17,0.0,0.17,0.17,0.17,Matches,epl
79,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,16,9,781.0,1.0,1.0,0.0,0.0,4.0,1.0,0.12,0.12,0.23,0.12,0.23,0.5,0.5,0.1,0.06,0.01,0.07,0.06,0.07,Matches,epl
80,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,15,15,1257.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.04,0.04,0.08,0.04,0.08,Matches,epl
81,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,14,14,1188.0,2.0,0.0,0.0,0.0,3.0,0.0,0.15,0.0,0.15,0.15,0.15,1.2,1.2,0.0,0.09,0.0,0.1,0.09,0.10,Matches,epl
82,Leon Clarke,eng ENG,MF,Sheffield Utd,34,1985,1,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,2.83,0.0,2.83,2.83,2.83,Matches,epl
83,Tom Cleverley,eng ENG,MF,Watford,29,1989,10,8,657.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,1.5,1.5,0.4,0.2,0.06,0.26,0.2,0.26,Matches,epl
84,Conor Coady,eng ENG,DF,Wolves,26,1993,27,27,2430.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.02,0.02,0.0,0.02,Matches,epl
85,SÃ©amus Coleman,ie IRL,DF,Everton,30,1988,17,13,1164.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.08,0.08,0.0,0.08,0.6,0.6,0.6,0.04,0.04,0.09,0.04,0.09,Matches,epl
86,Aaron Connolly,ie IRL,FW,Brighton,19,2000,17,9,834.0,2.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,2.4,2.4,0.2,0.26,0.02,0.28,0.26,0.28,Matches,epl
87,Lewis Cook,eng ENG,MF,Bournemouth,22,1997,19,10,914.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.02,0.08,0.1,0.02,0.10,Matches,epl
88,Steve Cook,eng ENG,DF,Bournemouth,28,1991,21,21,1830.0,1.0,0.0,0.0,0.0,4.0,1.0,0.05,0.0,0.05,0.05,0.05,0.7,0.7,0.3,0.03,0.02,0.05,0.03,0.05,Matches,epl
89,Jack Cork,eng ENG,MF,Burnley,30,1989,26,26,2278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.7,0.06,0.03,0.09,0.06,0.09,Matches,epl
90,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,22,22,1935.0,3.0,0.0,0.0,0.0,7.0,0.0,0.14,0.0,0.14,0.14,0.14,1.1,1.1,1.1,0.05,0.05,0.1,0.05,0.10,Matches,epl
91,Patrick Cutrone,it ITA,FW,Wolves,21,1998,12,3,292.0,2.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.62,0.62,2.3,2.3,0.0,0.72,0.01,0.73,0.72,0.73,Matches,epl
92,Diogo Dalot,pt POR,DF,Manchester Utd,20,1999,4,1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.2,0.2,0.20,Matches,epl
93,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.05,0.0,0.05,Matches,epl
94,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,8,6,545.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.2,0.2,0.2,0.03,0.03,0.06,0.03,0.06,Matches,epl
95,Kevin Danso,at AUT,DF,Southampton,20,1998,6,3,275.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.33,0.33,0.0,0.33,0.1,0.1,0.2,0.03,0.06,0.09,0.03,0.09,Matches,epl
96,Ben Davies,wal WAL,DF,Tottenham,26,1993,8,6,541.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.04,0.04,0.01,0.04,Matches,epl
97,Tom Davies,eng ENG,MF,Everton,21,1998,19,13,1220.0,1.0,0.0,0.0,0.0,6.0,0.0,0.07,0.0,0.07,0.07,0.07,1.7,1.7,0.3,0.12,0.02,0.14,0.12,0.14,Matches,epl
98,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,7,0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.62,0.04,0.66,0.62,0.66,Matches,epl
99,Craig Dawson,eng ENG,DF,Watford,29,1990,20,17,1549.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.05,0.0,0.05,0.05,0.05,Matches,epl
100,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,26,25,2156.0,8.0,17.0,0.0,0.0,2.0,0.0,0.33,0.71,1.04,0.33,1.04,4.9,4.9,13.4,0.2,0.56,0.76,0.2,0.76,Matches,epl
101,Troy Deeney,eng ENG,FW,Watford,31,1988,17,16,1432.0,6.0,2.0,2.0,3.0,3.0,0.0,0.38,0.13,0.5,0.25,0.38,6.3,4.0,2.0,0.4,0.13,0.52,0.25,0.38,Matches,epl
102,Fabian Delph,eng ENG,MF,Everton,29,1989,16,13,1189.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.03,0.03,0.0,0.03,Matches,epl
103,Leander Dendoncker,be BEL,"DF,MF",Wolves,24,1995,27,25,2179.0,2.0,0.0,0.0,0.0,3.0,0.0,0.08,0.0,0.08,0.08,0.08,1.2,1.2,0.6,0.05,0.02,0.07,0.05,0.07,Matches,epl
104,Gerard Deulofeu,es ESP,FW,Watford,25,1994,28,25,2107.0,4.0,5.0,1.0,1.0,3.0,0.0,0.17,0.21,0.38,0.13,0.34,5.3,4.5,4.6,0.22,0.2,0.42,0.19,0.39,Matches,epl
105,Eric Dier,eng ENG,"MF,DF",Tottenham,25,1994,12,8,711.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.25,0.25,0.0,0.25,0.9,0.9,0.1,0.12,0.01,0.13,0.12,0.13,Matches,epl
106,Lucas Digne,fr FRA,DF,Everton,26,1993,25,25,2155.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.21,0.21,0.0,0.21,1.1,1.1,4.6,0.05,0.19,0.24,0.05,0.24,Matches,epl
107,Virgil van Dijk,nl NED,DF,Liverpool,28,1991,28,28,2520.0,4.0,0.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,2.0,2.0,0.6,0.07,0.02,0.09,0.07,0.09,Matches,epl
108,Issa Diop,fr FRA,DF,West Ham,22,1997,22,21,1866.0,3.0,0.0,0.0,0.0,8.0,0.0,0.14,0.0,0.14,0.14,0.14,1.3,1.3,0.3,0.06,0.01,0.08,0.06,0.08,Matches,epl
109,Moussa Djenepo,ml MLI,"MF,DF",Southampton,21,1998,17,9,898.0,2.0,2.0,0.0,0.0,4.0,0.0,0.2,0.2,0.4,0.2,0.4,2.3,2.3,1.4,0.23,0.14,0.38,0.23,0.38,Matches,epl
110,Matt Doherty,ie IRL,DF,Wolves,27,1992,25,22,1970.0,3.0,1.0,0.0,0.0,1.0,0.0,0.14,0.05,0.18,0.14,0.18,4.0,4.0,0.8,0.18,0.03,0.22,0.18,0.22,Matches,epl
111,Abdoulaye DoucourÃ©,fr FRA,MF,Watford,26,1993,27,27,2360.0,4.0,2.0,0.0,0.0,7.0,0.0,0.15,0.08,0.23,0.15,0.23,4.0,4.0,2.4,0.15,0.09,0.25,0.15,0.25,Matches,epl
112,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,4,4,263.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.04,0.01,0.05,0.04,0.05,Matches,epl
