Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Matches,League
64,Darko BraÅ¡anac,rs SRB,MF,Osasuna,27,1992,19,17,1500.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.06,0.06,0.0,0.06,1.5,1.5,0.8,0.09,0.05,0.14,0.09,0.14,Matches,laLiga
65,Yan Brice Eteki,cm CMR,MF,Granada,21,1997,16,10,820.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.03,0.01,0.04,0.03,0.04,Matches,laLiga
66,Bryan,es ESP,"MF,FW",LeganÃ©s,18,2001,3,0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.12,0.17,0.06,0.17,Matches,laLiga
67,Bryan,es ESP,FW,Sevilla,18,2001,2,0,63.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,laLiga
68,Ante Budimir,hr CRO,FW,Mallorca,28,1991,24,24,1986.0,9.0,2.0,0.0,0.0,6.0,0.0,0.41,0.09,0.5,0.41,0.5,6.7,6.7,0.8,0.3,0.04,0.34,0.3,0.34,Matches,laLiga
69,Esteban Burgos,ar ARG,DF,Eibar,27,1992,6,5,519.0,1.0,0.0,0.0,0.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,0.8,0.8,0.0,0.13,0.0,0.13,0.13,0.13,Matches,laLiga
70,Burgui,es ESP,MF,AlavÃ©s,25,1993,2,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,laLiga
71,Oliver Burke,sco SCO,"MF,FW",AlavÃ©s,22,1997,21,7,788.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11,0.11,0.23,0.11,0.23,2.6,2.6,0.4,0.3,0.05,0.35,0.3,0.35,Matches,laLiga
72,Sergio Busquets,es ESP,MF,Barcelona,31,1988,21,18,1620.0,2.0,2.0,0.0,0.0,6.0,0.0,0.11,0.11,0.22,0.11,0.22,1.1,1.1,2.1,0.06,0.11,0.17,0.06,0.17,Matches,laLiga
73,Unai Bustinza,es ESP,DF,LeganÃ©s,27,1992,23,22,1910.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,0.4,0.4,1.0,0.02,0.05,0.07,0.02,0.07,Matches,laLiga
